Epoch	Loss	Validation Loss
0	2.58051651348	2.21458359432
1	2.21606793663	2.07645327956
2	2.12652972068	2.01073665509
3	2.06580504099	1.96506717736
4	2.01753792657	1.91976793972
5	1.97552611173	1.87216923779
6	1.93833144866	1.84247903705
7	1.90738970669	1.81530237336
8	1.88357989506	1.79485631837
9	1.86204741223	1.77223716322
10	1.84206682113	1.75305289743
11	1.82198765868	1.73735552041
12	1.80520430115	1.72653365002
13	1.79295321957	1.71395760927
14	1.77799167069	1.69940105016
15	1.76597175528	1.69240390372
16	1.75491081538	1.68177177689
17	1.74604376688	1.67309061005
18	1.73576913668	1.66617606033
19	1.72668759728	1.66252299051
20	1.71637782784	1.655880587
21	1.70964625537	1.6511823049
22	1.70392021318	1.64416830037
23	1.69628618588	1.63847181845
24	1.69071725116	1.63445416435
25	1.68412725927	1.63147902105
26	1.67742302537	1.6252893458
27	1.6723205222	1.62430576364
28	1.66702137055	1.61937528105
29	1.66116077819	1.61741670048
30	1.65688035981	1.61271182668
31	1.65218680534	1.60958745382
32	1.64904308796	1.60747201082
33	1.64407500292	1.60344723113
34	1.64109487869	1.60413883617
35	1.63778066211	1.60155093942
36	1.63316619009	1.59729532978
37	1.62973434419	1.59556323222
38	1.62689783532	1.59829986737
