Epoch	Loss	Validation Loss
0	2.54145348799	2.17271240687
1	2.1889066637	2.04413224383
2	2.0935224599	1.97255617103
3	2.02581306682	1.91064649286
4	1.97286936523	1.86955398952
5	1.931685341	1.82541816701
6	1.89525329166	1.79642702242
7	1.86566391904	1.77150568248
8	1.84044759122	1.75018034804
9	1.81779215258	1.73009226408
10	1.79787148184	1.71201008512
11	1.78011782726	1.69889403222
12	1.76536808582	1.68849794493
13	1.7484561923	1.67962834928
14	1.7353661863	1.66931538719
15	1.72384264989	1.66065383662
16	1.71314558568	1.65230651704
17	1.70381374702	1.6443588981
18	1.69453817124	1.63664099679
19	1.68506338757	1.63439738516
20	1.67688032399	1.62998616974
21	1.66904543402	1.62122374913
22	1.66450699061	1.61982736471
23	1.65774026724	1.61993098182
24	1.6510319669	1.61295467868
25	1.64544668246	1.6123523169
26	1.64043288412	1.61067488753
27	1.63544048266	1.60644694238
28	1.6308608524	1.60542321349
29	1.62498778911	1.60386807256
30	1.62012539176	1.60051763321
31	1.61698914134	1.59991817755
32	1.61216520195	1.59958123091
33	1.61102113447	1.59691160858
34	1.6063004039	1.59469430989
35	1.60152752864	1.59159505801
36	1.59895092466	1.59350753281
37	1.59604957129	1.58897906165
38	1.5920802014	1.58859257903
