Epoch	Loss	Validation Loss
0	2.44331649527	2.11108176403
1	2.09408489146	1.95412272362
2	1.96916571724	1.84621878761
3	1.87558571100	1.77671202712
4	1.80545459376	1.71783972976
5	1.74919372503	1.67533481306
6	1.70646332369	1.64431108555
7	1.66802936644	1.61621921997
8	1.64700617592	2.13448390759
9	1.63698010704	1.577321559
10	1.58483727527	1.56625898911
11	1.56240306769	1.55718938704
12	1.54506756623	1.54157253782
13	1.52757329906	1.53846508517
14	1.50979013372	1.53029231685
15	1.49541608116	1.52712164013
16	1.48190986547	1.52129228087
17	1.46882313565	1.51896645664
18	1.45653072688	1.51355521688
19	1.4454629977	1.51379336287
20	1.43555254874	1.51349550952
21	1.4270439696	1.51246232093
22	1.41731374785	1.51240601049
23	1.40757047078	1.51466047191
24	1.39830149674	1.51699795654
25	1.39467099568	1.51349480736
26	1.38787588531	1.51455892322
27	1.3776259221	1.52015879724
28	1.37428982363	1.51867063088
29	1.36818511953	1.51970874459
30	1.46922066214	1.49205071532
31	1.44600434168	1.48610869675
32	1.4314685212	1.48537211127
33	1.41616614276	1.48856799333
34	1.40889314597	1.48756452356
35	1.39229871837	1.49080236544
36	1.38351939608	1.48882877537
37	1.3833284449	1.48875213369
38	1.37758878186	1.48909698981
