Epoch	Loss	Validation Loss
0	2.4188189112	2.0928030905
1	2.07402699221	1.93068611593
2	1.95466846508	1.83652755468
3	1.86250340335	1.75942966088
4	1.79128451758	1.70484748097
5	1.73572717244	1.66855033453
6	1.69155542648	1.63252108586
7	1.65340508623	1.60553540158
8	1.62340763252	1.58746825519
9	1.59822208974	1.57356286104
10	1.5711105814	1.55701832271
11	1.54981630239	1.54332133603
12	1.53259568017	1.53995189103
13	1.51351645811	1.53455347998
14	1.49713275276	1.52840494221
15	1.4828965311	1.52232614623
16	1.46959870866	1.51953726138
17	1.45461101222	1.5165981025
18	1.44551143149	1.5153355364
19	1.43361852232	1.51440467762
20	1.4237302937	1.51714791149
21	1.41509587776	1.51706615762
22	1.40484089623	1.51213342973
23	1.39715064865	1.51236993518
24	1.39190802314	1.51357197226
25	1.42091520649	1.52561507303
26	1.39154270068	1.52107492011
27	1.36641593477	1.52258739954
28	1.35517582715	1.522403634
29	1.35069932389	1.52255306599
30	1.35448700245	1.52286993243
31	1.35999252113	1.52169939365
32	1.42188515657	1.54660910176
33	1.46670911238	1.57037681577
34	1.43529765052	1.57807206523
35	1.4367120446	1.56878723483
36	1.37940052475	1.52376537672
37	1.35669889474	1.52968064004
38	1.89120651056	2.12399594979
