Epoch	Loss	Validation Loss
0	2.3550138871	2.00282472535
1	1.94183783335	1.81564130914
2	1.78087746772	1.69602962211
3	1.68744401241	1.63709871292
4	1.62741644877	1.59271872985
5	1.5724581959	1.55391800742
6	1.52832836361	1.52827520868
7	1.4912210739	1.51624935596
8	1.46267475724	1.49664505009
9	1.44874015321	1.48856772149
10	1.40744116847	1.47937336701
11	1.39087761789	1.47777157631
12	1.37685402424	1.47046629649
13	1.36144320895	1.46773793548
14	1.34584538699	1.49236824585
15	1.34463296867	1.48123776427
16	1.34956462561	1.5322719675
17	1.41721159586	1.54057103505
