Epoch	Loss	Validation Loss
0	2.34770305956	2.03339300136
1	2.01156300007	1.86461707879
2	1.8717940938	1.75587180763
3	1.77571995662	1.6911974574
4	1.71011972391	1.63419920149
5	1.67984220673	1.67839756921
6	1.86813817516	1.87404172962
7	1.77368251358	1.72835820151
8	1.74426977774	1.63744071848
9	1.72319877788	1.75595033045
10	1.52939302485	1.52205509295
11	1.49738410136	1.51172329848
12	1.48008307078	1.50761402294
13	1.46611373675	1.50289002805
14	1.45130071918	1.50078053019
15	1.43889895828	1.49785733327
16	1.42851712253	1.49960492105
17	1.41751755992	1.49498915413
18	1.40913020946	1.49175703127
19	1.56268279732	1.44426620555
20	1.4805251423	1.41876079647
21	1.44179125643	1.40342638968
22	1.41363356606	1.39874958959
23	1.38971119639	1.38762188262
24	1.37030257937	1.38309546924
25	1.35154402378	1.38774380453
26	1.33709645763	1.3890207609
27	1.32270219303	1.38381912979
28	1.31207136343	1.38620542588
29	1.29782357668	1.38790301193
30	1.29048345219	1.39282151101
31	1.27642921702	1.39383838698
32	1.26758742128	1.39622229684
33	1.25984876539	1.39568451303
34	1.25296420336	1.39645867414
35	1.24459368249	1.40200074267
36	1.23788348981	1.40556004193
37	1.23001479432	1.40492557007
38	1.22201742497	1.40847488929
39	1.22012287555	1.40754346676
40	1.21470795729	1.41701145238
41	1.20984931032	1.41977617741
42	1.20362160245	1.41826516704
43	1.19849816475	1.42643621575
44	1.19507057339	1.42479433604
45	1.19047287414	1.42270617016
46	1.19115760664	1.43028606721
47	1.18565658506	1.43145276199
48	1.17938294129	1.43258724358
49	1.17641109724	1.44998565869
50	1.17176280056	1.44014397315
51	1.14518531832	1.44388159411
52	1.1450485066	1.44231421162
53	1.14887164808	1.44881704719
54	1.15606819358	1.45069460182
55	1.15793777328	1.44128116478
56	1.15920981713	1.44397158477
57	1.15887707877	1.44651968829
