Epoch	Loss	Validation Loss
0	2.46093337096	2.04844883318
1	2.03970820447	1.85467516575
2	1.8939459508	1.74192926116
3	1.81035351929	1.75030736523
4	1.75873019017	1.6306116087
5	1.70082188142	1.59922833504
6	1.66713903781	1.57640057936
7	1.63716306905	1.54974115304
8	1.60753941359	1.53152084899
9	1.58546569229	1.51423331783
10	1.56433902131	1.5082902529
11	1.54612511288	1.49206128308
12	1.52641298168	1.48042281353
13	1.51256752672	1.4741156269
14	1.49862209953	1.47309169105
15	1.48718719318	1.46269468756
16	1.47448925317	1.46246093758
17	1.46466407802	1.45679432937
18	1.45283217776	1.45829908567
19	1.44271240148	1.45203272974
20	1.43541692248	1.4501206085
21	1.42675941223	1.4511122671
22	1.41674534393	1.44340527628
23	1.55321299546	1.4059150569
24	1.48128015028	1.38309506208
25	1.44901239061	1.36706171148
26	1.42234730593	1.35645937755
27	1.40341036389	1.34885214894
28	1.38758938552	1.34563365914
29	1.37208149697	1.34237810423
30	1.36112825593	1.34266671223
31	1.34714993944	1.33770897342
32	1.33821814244	1.33924191956
33	1.32774835733	1.33272619683
34	1.31773367226	1.33723283276
35	1.30898676121	1.33906988833
